Wall time,Step,cnn_8_x4_nb,cnn_8_x4_b,cnn_32_x4
1537121804.28238,394,0.3655198812,0.4348705411,0.4412296712
1537122068.42495,395,0.3715083003,0.4345115423,0.441405952
1537122143.24926,396,0.3723924458,0.4354934096,0.4423660934
1537122180.38894,397,0.3723658621,0.4365554154,0.4421621859
1537122273.36477,398,0.3723070025,0.4362294376,0.4423483014
1537122292.01266,399,0.3730904162,0.4371188581,0.4427603483
1537122329.02357,400,0.3741613328,0.4397290945,0.4426089227
1537122384.91565,401,0.3730447888,0.4408171773,0.4416996241
1537122422.23203,402,0.3746842444,0.4419418573,0.4415926933
1537122459.34459,403,0.375744909,0.4419705272,0.4426680207
1537122477.99128,404,0.3756738603,0.4409970939,0.4430764019
1537122609.19275,405,0.3758922517,0.4411816001,0.4430575371
1537122665.12867,406,0.3764747083,0.4402500689,0.4431335032
1537122758.67645,407,0.3784458041,0.4413951337,0.4440450072
1537123117.30164,408,0.3790434599,0.4425289035,0.4435020387
1537123306.01538,409,0.3783282638,0.4430774748,0.4437762201
1537123419.29846,410,0.3802035451,0.4425425529,0.4436849356
1537123475.58412,411,0.3806653321,0.3921802938,0.4442895949
1537123532.24151,412,0.3798578978,0.4199905396,0.4438383281
1537123588.61417,413,0.3795470297,0.4284527004,0.4443027973
1537123607.80745,414,0.379337579,0.4307903349,0.444398731
1537123626.65394,415,0.3791313767,0.4331515133,0.4440863431
1537123815.79547,416,0.3797358572,0.4339471757,0.444527477
1537123834.70939,417,0.3802316189,0.4338050783,0.444270283
1537123970.08117,418,0.3874921501,0.4321493804,0.444740504
1537124008.73244,419,0.3763461113,0.4339987934,0.4443980157
1537124236.81525,420,0.3724859059,0.4339877665,0.4440250099
1537124255.77545,421,0.3709822297,0.4391117394,0.4448509216
1537124293.48067,422,0.3713128865,0.439191699,0.4452945292
1537124444.62466,423,0.3774511516,0.441593647,0.4455609322
1537124616.01798,424,0.374588877,0.4407331944,0.4459990263
1537124937.71522,425,0.3769054413,0.4403392673,0.4458080828
1537125202.57156,426,0.376817137,0.4404422641,0.4457903802
1537125278.26468,427,0.3766991496,0.4389639497,0.4458357692
1537125297.50884,428,0.376394242,0.4393034577,0.446567893
1537125335.11537,429,0.3772704005,0.4387522638,0.4464210868
1537125486.25303,430,0.3776745796,0.4395225942,0.4465393126
1537125523.52438,431,0.3769468367,0.4396539927,0.4466865361
1537125598.45004,432,0.3773274124,0.4509582818,0.4462839067
1537125786.96078,433,0.3773972094,0.4398759902,0.4459578395
1537125937.56603,434,0.3777213097,0.4362874031,0.4463133812
1537125956.34916,435,0.3780667484,0.4371984899,0.4462818205
1537126280.1837,436,0.3358352482,0.4386981726,0.4466530085
1537126432.18072,437,0.3829719424,0.4357429743,0.4467736781
1537126546.49913,438,0.3761284351,0.4367964864,0.446919471
1537126565.48747,439,0.3761171997,0.4376674891,0.4470596611
1537126603.59284,440,0.3799412251,0.4377937019,0.446683228
1537126641.79454,441,0.3781897128,0.4374527335,0.4467099607
1537126736.16187,442,0.3781305254,0.4364471734,0.4470499158
1537127210.57009,443,0.3735703528,0.435264796,0.4466875792
1537127229.27951,444,0.3732097149,0.4349901378,0.447073698
1537127419.99294,445,0.3724192679,0.4341860414,0.4465830028
1537127457.92372,446,0.3718091846,0.4332081378,0.4466061592
1537127533.98351,447,0.3719450533,0.4353783727,0.4465654492
1537127553.01106,448,0.3723906577,0.4352689683,0.4468648732
1537127762.64507,449,0.3721942902,0.4353973866,0.4465531707
1537127819.85286,450,0.3721513152,0.43476668,0.4465469718
